seed,selected_stage,sample_id,system_id,direction,component_count,chemical_family,evaluation_partition,explanation_mode,output,view,shapley_value,absolute_shapley_value,empty_value,full_value,additivity_error
0,stage2,state_0f193199a3b2cfcde25945a9,2c_e38d1f19a6809ae85603,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,mean_abs_log_gamma,unimol_v2,0.041981808841228485,0.041981808841228485,0.07762886583805084,0.6026890277862549,1.4901161193847656e-08
0,stage2,state_0f193199a3b2cfcde25945a9,2c_e38d1f19a6809ae85603,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,mean_abs_log_gamma,functional_groups,0.07197211682796478,0.07197211682796478,0.07762886583805084,0.6026890277862549,1.4901161193847656e-08
0,stage2,state_0f193199a3b2cfcde25945a9,2c_e38d1f19a6809ae85603,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,mean_abs_log_alpha,rdkit_2d,1.4445562362670898,1.4445562362670898,0.1552577018737793,1.4795308113098145,0.0
0,stage2,state_0f193199a3b2cfcde25945a9,2c_e38d1f19a6809ae85603,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,mean_abs_log_alpha,unimol_v2,-0.05149134248495102,0.05149134248495102,0.1552577018737793,1.4795308113098145,0.0
0,stage2,state_0f193199a3b2cfcde25945a9,2c_e38d1f19a6809ae85603,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,mean_abs_log_alpha,functional_groups,-0.0687917098402977,0.0687917098402977,0.1552577018737793,1.4795308113098145,0.0
0,stage2,state_0f193199a3b2cfcde25945a9,2c_e38d1f19a6809ae85603,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,mean_abs_pair_interaction,rdkit_2d,0.8222125172615051,0.8222125172615051,0.15525773167610168,1.2053780555725098,2.9802322387695312e-08
0,stage2,state_0f193199a3b2cfcde25945a9,2c_e38d1f19a6809ae85603,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,mean_abs_pair_interaction,unimol_v2,0.08396361768245697,0.08396361768245697,0.15525773167610168,1.2053780555725098,2.9802322387695312e-08
0,stage2,state_0f193199a3b2cfcde25945a9,2c_e38d1f19a6809ae85603,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,mean_abs_pair_interaction,functional_groups,0.14394423365592957,0.14394423365592957,0.15525773167610168,1.2053780555725098,2.9802322387695312e-08
0,stage2,state_0fadd22062262caf00cd2fc7,2c_ebc3b99e7d6baac46bdf,isothermal,2,alcohol/polyol + ether/carbonyl,test,teacher_forced_observed_T_P_x,ge_rt,rdkit_2d,0.05495113134384155,0.05495113134384155,0.01791621930897236,0.17336253821849823,1.6763806343078613e-08
0,stage2,state_0fadd22062262caf00cd2fc7,2c_ebc3b99e7d6baac46bdf,isothermal,2,alcohol/polyol + ether/carbonyl,test,teacher_forced_observed_T_P_x,ge_rt,unimol_v2,0.03038458153605461,0.03038458153605461,0.01791621930897236,0.17336253821849823,1.6763806343078613e-08
0,stage2,state_0fadd22062262caf00cd2fc7,2c_ebc3b99e7d6baac46bdf,isothermal,2,alcohol/polyol + ether/carbonyl,test,teacher_forced_observed_T_P_x,ge_rt,functional_groups,0.07011061906814575,0.07011061906814575,0.01791621930897236,0.17336253821849823,1.6763806343078613e-08
0,stage2,state_0fadd22062262caf00cd2fc7,2c_ebc3b99e7d6baac46bdf,isothermal,2,alcohol/polyol + ether/carbonyl,test,teacher_forced_observed_T_P_x,mean_abs_log_gamma,rdkit_2d,0.11807245016098022,0.11807245016098022,0.037676747888326645,0.37623900175094604,3.725290298461914e-09
0,stage2,state_0fadd22062262caf00cd2fc7,2c_ebc3b99e7d6baac46bdf,isothermal,2,alcohol/polyol + ether/carbonyl,test,teacher_forced_observed_T_P_x,mean_abs_log_gamma,unimol_v2,0.06433936953544617,0.06433936953544617,0.037676747888326645,0.37623900175094604,3.725290298461914e-09
0,stage2,state_0fadd22062262caf00cd2fc7,2c_ebc3b99e7d6baac46bdf,isothermal,2,alcohol/polyol + ether/carbonyl,test,teacher_forced_observed_T_P_x,mean_abs_log_gamma,functional_groups,0.1561504453420639,0.1561504453420639,0.037676747888326645,0.37623900175094604,3.725290298461914e-09
0,stage2,state_0fadd22062262caf00cd2fc7,2c_ebc3b99e7d6baac46bdf,isothermal,2,alcohol/polyol + ether/carbonyl,test,teacher_forced_observed_T_P_x,mean_abs_log_alpha,rdkit_2d,0.7131139636039734,0.7131139636039734,0.06608867645263672,1.167457103729248,0.0
